year,Scenario,cntry_code,gdppercap
2005,SSP1,CHN,4277
2010,SSP1,CHN,7004
2020,SSP1,CHN,15231
2030,SSP1,CHN,28413
2040,SSP1,CHN,43209
2050,SSP1,CHN,56095
2005,SSP1,EU15,30221
2010,SSP1,EU15,30541
2020,SSP1,EU15,34250
2030,SSP1,EU15,39411
2040,SSP1,EU15,46156
2050,SSP1,EU15,53146
2005,SSP1,IND,2133
2010,SSP1,IND,2983
2020,SSP1,IND,5079
2030,SSP1,IND,9108
2040,SSP1,IND,15581
2050,SSP1,IND,23798
2005,SSP1,USA,42225
2010,SSP1,USA,41867
2020,SSP1,USA,50642
2030,SSP1,USA,60136
2040,SSP1,USA,68602
2050,SSP1,USA,75202
2005,SSP4,CHN,4277
2010,SSP4,CHN,7004
2020,SSP4,CHN,15046
2030,SSP4,CHN,25135
2040,SSP4,CHN,34389
2050,SSP4,CHN,43024
2005,SSP4,EU15,30221
2010,SSP4,EU15,30541
2020,SSP4,EU15,34256
2030,SSP4,EU15,39712
2040,SSP4,EU15,46759
2050,SSP4,EU15,54395
2005,SSP4,IND,2133
2010,SSP4,IND,2983
2020,SSP4,IND,5014
2030,SSP4,IND,7863
2040,SSP4,IND,11187
2050,SSP4,IND,14890
2005,SSP4,USA,42225
2010,SSP4,USA,41867
2020,SSP4,USA,50551
2030,SSP4,USA,60611
2040,SSP4,USA,69832
2050,SSP4,USA,77379
